episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,1362.2102296352386,0.0,0.0,0.0,1.0,0.1992313712835312
1,2527.6078310012817,0.0,0.0,0.019999999552965164,1.0,0.19846569001674652
2,1635.136860370636,0.12922975455991703,0.019999999552965164,0.019999999552965164,0.9,0.19770294427871704
3,1822.9074120521545,0.014925049089360981,0.0,0.0,1.0,0.19694313406944275
4,2040.3432228565216,0.008431269240099936,0.0,0.0,1.0,0.19618622958660126
5,2268.1706733703613,0.008412809118162841,0.0,0.0,1.0,0.19543223083019257
6,1218.9576770067215,0.009363262312253937,0.0,0.0,1.0,0.19468121230602264
7,2350.3037123680115,0.008747116095619276,0.0,0.0,0.9,0.19393308460712433
8,1983.641998052597,0.008708004890941083,0.0,0.0,1.0,0.19318783283233643
9,2031.26984167099,0.00870061587775126,0.0,0.1599999964237213,0.9,0.19244544208049774
10,3071.2053542137146,0.009604607637738809,0.0,0.019999999552965164,1.0,0.19170589745044708
11,1889.56481051445,0.009806103761075064,0.0,0.0,1.0,0.19096919894218445
12,1615.9661509990692,0.009828574783168733,0.10000000149011612,0.10000000149011612,1.0,0.19023533165454865
13,2429.0472707748413,0.00970500845927745,0.0,0.0,1.0,0.18950428068637848
14,1849.639847278595,0.009801221676170827,0.0,0.019999999552965164,0.9,0.18877603113651276
15,2176.7468316555023,0.010015844600275159,0.0,0.0,0.9,0.18805056810379028
16,2703.6939175128937,0.009589957250282168,0.0,0.0,1.0,0.18732787668704987
17,2246.163878440857,0.010638639545068145,0.0,0.0,1.0,0.1866079419851303
18,2396.55997133255,0.010794174834154546,0.0,0.0,1.0,0.18589076399803162
19,2582.776222705841,0.010196237210184336,0.0,0.1599999964237213,1.0,0.1851763129234314
20,2240.146309375763,0.010714693814516068,0.0,0.0,1.0,0.18446458876132965
21,2507.164355278015,0.01021859041415155,0.0,0.0,1.0,0.18375557661056519
22,2186.6128182411194,0.010555401260498911,0.0,0.0,1.0,0.1830492615699768
23,1598.9371111392975,0.009709453212562948,0.0,0.0,1.0,0.1823459267616272
24,2486.5367469787598,0.010155849400907755,0.0,0.0,1.0,0.1816452592611313
25,2253.977192401886,0.010598400802118704,0.0,0.006666666828095913,1.0,0.18094725906848907
26,1863.5172798633575,0.01044642468681559,0.0,0.0,1.0,0.18025191128253937
27,2672.644025325775,0.01000820733141154,0.0,0.0,1.0,0.17955921590328217
28,2426.0724198818207,0.010607545926468447,0.0,0.0,0.9,0.17886914312839508
29,2884.7061700820923,0.01020670403726399,0.0,0.0,1.0,0.17818167805671692
30,2025.6929926872253,0.010422935127280653,0.0,0.0,0.9,0.1774968057870865
31,2189.749816060066,0.010168312033638358,0.0,0.0,0.9,0.1768145114183426
32,2384.901997566223,0.010237097388599068,0.0,0.0,0.9,0.17613501846790314
33,2206.580581665039,0.010513434717431665,0.0,0.017777778208255768,1.0,0.17545826733112335
34,2390.549626350403,0.010601436137221754,0.0,0.02199999988079071,1.0,0.1747840791940689
35,1640.683340549469,0.010211062235757708,0.0,0.08571428060531616,1.0,0.17411242425441742
36,2213.508815765381,0.01042253663064912,0.0,0.0,0.9,0.1734432876110077
37,2569.1132225990295,0.010258879361208529,0.0,0.0,1.0,0.17277665436267853
38,2261.831551551819,0.010221343458397314,0.0,0.0,1.0,0.17211250960826874
39,2481.498411178589,0.009939832504605874,0.0,0.0,1.0,0.1714508980512619
40,1637.1936473846436,0.009815694293938576,0.0,0.0,1.0,0.17079220712184906
41,2011.5410451889038,0.010234938103239983,0.0,0.0,1.0,0.1701359748840332
42,1824.943996667862,0.010058904606848955,0.0,0.0,0.8,0.16948218643665314
43,2633.1355319023132,0.009730204193620012,0.0,0.0,1.0,0.16883082687854767
44,2339.632912635803,0.009879153838846832,0.0,0.0,1.0,0.1681818813085556
45,1819.2847874164581,0.00990662504103966,0.0,0.0,1.0,0.16753531992435455
46,2327.2520427703857,0.009798651412129402,0.0,0.0,1.0,0.16689158976078033
47,1790.5070753097534,0.01010844798758626,0.0,0.0,0.9,0.16625039279460907
48,3080.080858230591,0.009868158097378909,0.0,0.1599999964237213,1.0,0.16561155021190643
49,2599.9797806739807,0.010130058622453362,0.0,0.18000000715255737,1.0,0.16497504711151123
50,1766.390623807907,0.010593862812966108,0.0,0.02222222276031971,1.0,0.16434088349342346
51,1957.8252680301666,0.010616925116628408,0.0,0.0,1.0,0.16370907425880432
52,1820.6320159435272,0.01034367570420727,0.0,0.0,0.9,0.16308020055294037
53,1959.4002709388733,0.010546467823442072,0.0,0.0,0.9,0.16245360672473907
54,2487.9175906181335,0.010177713530138134,0.0,0.0,1.0,0.16182929277420044
55,2644.4864921569824,0.010117504328954965,0.0,0.029999999329447746,1.0,0.16120722889900208
56,2531.1025471687317,0.010072409755084664,0.0,0.0,1.0,0.16058741509914398
57,2620.4721665382385,0.010039703666698187,0.0,0.20000000298023224,1.0,0.1599705070257187
58,1920.9833209514618,0.010571541665121913,0.0,0.0,1.0,0.15935589373111725
59,1846.7196061611176,0.01077238580910489,0.0,0.0,1.0,0.1587434858083725
60,1778.619950056076,0.01031117774429731,0.0,0.0,1.0,0.15813325345516205
61,2507.1843087673187,0.010150546226650476,0.0,0.0,1.0,0.15752528607845306
62,2184.066020011902,0.009851876829052343,0.0,0.0,1.0,0.15692020952701569
63,1793.7535560131073,0.010056117016356439,0.0,0.0,1.0,0.15631727874279022
64,2478.1774179935455,0.009688695241929963,0.0,0.1599999964237213,1.0,0.15571647882461548
65,2073.057638645172,0.009688763979356736,0.0,0.0,0.9,0.15511777997016907
66,1874.503811120987,0.010134499481646344,0.0,0.14000000059604645,1.0,0.15452173352241516
67,2863.0391676425934,0.009897101479582488,0.0,0.0,1.0,0.15392811596393585
68,2429.641444683075,0.009742360946256667,0.0,0.0,1.0,0.1533365696668625
69,2193.940067768097,0.009413967351429164,0.0,0.0,1.0,0.15274706482887268
70,1965.5531795024872,0.009850440993905068,0.0,0.019999999552965164,1.0,0.15215995907783508
71,2176.817561149597,0.009676572827156633,0.0,0.0,1.0,0.1515754759311676
72,2432.481547355652,0.010203212160849944,0.0,0.0,0.9,0.1509930044412613
73,2085.854393005371,0.009506607392104342,0.0,0.0,0.9,0.15041251480579376
74,1985.544186115265,0.009604160953313113,0.0,0.0,1.0,0.14983434975147247
75,1895.9106891155243,0.010129819691646844,0.0,0.0,1.0,0.1492588073015213
76,2802.5848412513733,0.009861689629033207,0.0,0.0,1.0,0.14868521690368652
